scorer,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,tailbase,tailbase,tailbase,tailend,tailend,tailend
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
26,100.00450897216797,69.84237670898438,1.0,103.41577911376953,87.5600357055664,0.9999994039535522,115.14146423339844,68.56195068359375,1.0,187.13804626464844,133.1958465576172,1.0,292.92510986328125,195.47962951660156,1.0
27,98.87813568115234,72.41152954101562,0.9999998807907104,104.35871124267578,90.50511169433594,0.9999972581863403,115.10161590576172,69.42051696777344,1.0,188.66465759277344,134.7107696533203,1.0,295.69598388671875,196.7283935546875,1.0
28,98.6603775024414,74.48853302001953,0.9999995231628418,104.49885559082031,93.32303619384766,0.9999994039535522,113.94367980957031,71.49475860595703,1.0,190.90335083007812,135.57632446289062,1.0,297.8768615722656,196.82489013671875,1.0
29,98.8445816040039,76.2726821899414,0.9999997615814209,105.02103424072266,95.19383239746094,0.9999994039535522,114.47492218017578,72.9319076538086,1.0,193.3477783203125,135.2472381591797,1.0,300.05706787109375,196.18350219726562,0.9999999403953552
30,99.30840301513672,79.38513946533203,0.9999998807907104,106.71741485595703,97.24676513671875,0.9999996423721313,113.8530502319336,74.5947036743164,1.0,194.79452514648438,135.19439697265625,1.0,302.8756103515625,195.5740509033203,1.0
31,98.69233703613281,81.51204681396484,1.0,107.43846893310547,98.84849548339844,0.9999998807907104,113.52328491210938,75.8322982788086,0.9999998807907104,196.26145935058594,134.553955078125,1.0,303.9953308105469,195.54544067382812,1.0
32,98.97178649902344,82.46390533447266,1.0,107.41265869140625,98.79459381103516,0.9999998807907104,113.9481201171875,76.03838348388672,1.0,197.66444396972656,133.20350646972656,1.0,304.84283447265625,195.86859130859375,1.0
33,99.6329116821289,81.86888885498047,1.0,107.59222412109375,98.8224105834961,0.9999998807907104,113.796630859375,76.00563049316406,1.0,198.62338256835938,131.51808166503906,1.0,305.36553955078125,196.61929321289062,1.0
34,99.2500228881836,84.20502471923828,0.9999998807907104,108.79903411865234,100.07176208496094,0.9999998807907104,113.80547332763672,76.7877426147461,1.0,199.67147827148438,129.76072692871094,1.0,307.1767272949219,195.98675537109375,1.0
35,97.8559341430664,85.6445083618164,1.0,108.62520599365234,100.31888580322266,1.0,113.85862731933594,76.88926696777344,0.9999999403953552,201.37457275390625,127.06623077392578,0.9999998211860657,309.4376220703125,194.38516235351562,1.0
